Name,Role,movie_ID
Andrew Robinson,Actor,KBFH
Andrew Shim,Actor,HFLQ
Andrew Stanton,Director,"SAKO, YEIV"
Andrey Zvyagintsev,Director,"SQHR, WMCK, JBMJ"
André Berley,Actor,XNST
André Ramiro,Actor,"FVMO, TCNI"
André S. Labarthe,Actor,QSHW
Andy Devine,Actor,QIII
Andy Garcia,Actor,MRDK
Andy Lau,Actor,XQYJ
Andy Serkis,Actor,"CPBG, HSXL"
Aneesh Chaganty,Director,XRTU
Ang Lee,Director,"HEPW, RWOC, XJGG, KNXX"
Angela Bassett,Actor,TTBT
Angela Lansbury,Actor,YMWE
Angelina Jolie,Actor,RDPU
Angie Dickinson,Actor,ZIJN
Angus Macfadyen,Actor,JQEN
Anil Dhawan,Actor,ZIWL
Aniruddha Roy Chowdhury,Director,EUKE
Anita Ekberg,Actor,CFGX
Anjelica Huston,Actor,HLZX
Ann Dvorak,Actor,YJUT
Ann Owens,Actor,OLJP
Ann Reinking,Actor,YQOQ
Anna Faris,Actor,TEBU
Anna Foglietta,Actor,VKLU
Anna Karina,Actor,QSHW
Anna Kendrick,Actor,"GLBU, JYAT"
Anna Massey,Actor,XMDW
Annalise Basso,Actor,BOGV
Anne Bancroft,Actor,"AMII, FVNM"
Anne Baxter,Actor,"MSKC, THYG"
Anne Dorval,Actor,VMIR
Anne Hathaway,Actor,"DRRQ, XDCD, YFSH"
Anne Le Ny,Actor,NYMX
Anne-Marie Duff,Actor,JSCP
Annette Bening,Actor,UIXI
Annie Corley,Actor,BLIZ
Annie Potts,Actor,GENM
Annika Wedderkopp,Actor,JNLB
Annu Kapoor,Actor,NUUM
Anouk Aimée,Actor,"GBJK, CFGX"
Ansel Elgort,Actor,"WEDX, MXZG"
Ansiba,Actor,XSJP
Anthony Chau-Sang Wong,Actor,XQYJ
Anthony Edwards,Actor,"ITQT, HPTX"
Anthony Gonzalez,Actor,HMWM
Anthony Harvey,Director,DVZQ
Anthony Hopkins,Actor,"DVZQ, PESG, ASSC, AMII, WCFE"
Anthony Michael Hall,Actor,FBKZ
Anthony Perkins,Actor,ACFP
Anthony Quinn,Actor,"APYA, DKLW, GDTG"
Anthony Russo,Director,"FLTS, KVXI, YVGJ, SPRT"
Antoine Fuqua,Director,IEXO
Antoine Olivier Pilon,Actor,VMIR
Anton Corbijn,Director,KAVQ
Anton Walbrook,Actor,VTJI
Antonella Attili,Actor,AFGE
Antonia San Juan,Actor,WOUW
Antonio Banderas,Actor,CGZI
Antonio Resines,Actor,LUXB
Anupam Kher,Actor,"OBKT, BCMU, LKUN"
Anurag Basu,Director,XEBE
Anurag Kashyap,Director,"OLPE, FOTC"
Anushka Sharma,Actor,TSLS
Anushka Shetty,Actor,FFWB
Aoi Miyazaki,Actor,NHRO
Aoi Yûki,Actor,"PJCK, TMXD"
Aparna Balamurali,Actor,TZJX
Aras Bulut Iynemli,Actor,FZIF
Archana Jois,Actor,MISJ
Ariadna Gil,Actor,NRDJ
Ariane Labed,Actor,ADJD
Arifin Putra,Actor,QHDY
Armando Brancia,Actor,MJNT
Armie Hammer,Actor,WULB
Armin Mueller-Stahl,Actor,"DPGV, LHMZ"
Arno Frisch,Actor,KZBR
Arnold Lucy,Actor,PBJM
Arnold Schwarzenegger,Actor,"YKLF, GJHC, FHLG"
Arshad Warsi,Actor,"DGAU, OISJ"
Art LaFleur,Actor,TFBV
Art Malik,Actor,TCFA
Art Parkinson,Actor,ZBFB
Arthur O'Connell,Actor,LFZP
Arthur Penn,Director,TYBZ
Arthur Rosson,Actor,VUMZ
Artyom Bogucharskiy,Actor,LOGF
Asa Butterfield,Actor,PXLD
Asaka Seto,Actor,WYJB
Asghar Farhadi,Director,"MPOR, HCDL, XZFA, OLZB"
Ash Brannon,Actor,TNHL
Asha Sharath,Actor,XSJP
Ashton Kutcher,Actor,WJHO
Ashutosh Gowariker,Director,"NHWN, JMEP"
Atsuko Tanaka,Actor,LDTU
Audrey Hepburn,Actor,"JBWN, EMHS, XQGP, XXIM, RWXE, ZKVS"
Audrey Tautou,Actor,"LGMZ, DUIM"
Auli'i Cravalho,Actor,HEZB
Aura Garrido,Actor,ZMMK
Aurore Clément,Actor,HLXE
Aurélien Recoing,Actor,ZGMY
Aya Okamoto,Actor,UERH
Ayami Kakiuchi,Actor,YGIQ
Ayano Shiraishi,Actor,EETS
Ayberk Pekcan,Actor,YIYG
Ayesha Kapoor,Actor,UQWF
Ayushmann Khurrana,Actor,"ZIWL, NUUM, UKDM"
Azhy Robertson,Actor,FQHJ
BD Wong,Actor,ELCR
Babak Karimi,Actor,OLZB
Bae Doona,Actor,IAPX
Bahar Pars,Actor,WZZU
Bahare Seddiqi,Actor,HUIP
Bajram Severdzan,Actor,JSMP
Baki Davrak,Actor,HXOA
Barbara Bel Geddes,Actor,CRKK
Barbara Hershey,Actor,"LFGR, VEIR"
Barbara Stanwyck,Actor,BTBX
Baris Bagci,Actor,OHXP
Barkhad Abdi,Actor,WVXB
Barkhad Abdirahman,Actor,WVXB
Barry Bostwick,Actor,IIVO
Barry Cook,Actor,ELCR
Barry Fitzgerald,Actor,OYBJ
Barry Humphries,Actor,DHHU
Barry Keoghan,Actor,HKPW
Barry Levinson,Director,"GSWN, LFIO"
Barry Pepper,Actor,APCX
Basil Rathbone,Actor,LPJO
Beau Billingslea,Actor,WCCG
Bee Vang,Actor,WICB
Belén Rueda,Actor,"ETPV, ZMMK"
Ben Affleck,Actor,"PRKU, AQDB, HRGM"
Ben Affleck,Director,"AQDB, JJTW"
Ben Burtt,Actor,SAKO
Ben Foster,Actor,"XKEG, BSSZ"
Ben Gazzara,Actor,LFZP
